,club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_from_name,year,season,country_from_name,league_to_name,country_to_name
122,GIF Sundsvall,Andreas Yngvesson,27.0,Centre-Forward,Malmö FF,?,out,Winter,,Allsvenskan,2001,2001/2002,Sweden,Allsvenskan,Sweden
124,AIK Solna,Jimmy Tamandi,21.0,Right-Back,Malmö FF,free transfer,in,Winter,0.0,Allsvenskan,2001,2001/2002,Sweden,Allsvenskan,Sweden
128,AIK Solna,Mattias Thylander,27.0,Defensive Midfield,Halmstads BK,free transfer,out,Winter,0.0,Allsvenskan,2001,2001/2002,Sweden,Allsvenskan,Sweden
129,AIK Solna,Dime Jankulovski,24.0,Goalkeeper,IK Start,free transfer,out,Winter,0.0,Allsvenskan,2001,2001/2002,Sweden,Eliteserien,Norway
130,AIK Solna,Nebojsa Novakovic,37.0,Centre-Forward,AFC Eskilstuna,?,out,Winter,,Allsvenskan,2001,2001/2002,Sweden,Allsvenskan,Sweden
131,AIK Solna,Pontus Kamark,32.0,Centre-Back,IFK Göteborg,?,out,Winter,,Allsvenskan,2001,2001/2002,Sweden,Allsvenskan,Sweden
134,Kalmar FF,Patrik Rosengren,30.0,Centre-Back,Mjällby AIF,free transfer,in,Winter,0.0,Allsvenskan,2001,2001/2002,Sweden,Allsvenskan,Sweden
137,Kalmar FF,Daniel Hallingström,21.0,Centre-Back,Åtvidabergs FF,loan transfer,out,Winter,,Allsvenskan,2001,2001/2002,Sweden,Allsvenskan,Sweden
147,IFK Norrköping,Filip Apelstav,30.0,Defence,Sogndal IL,?,in,Winter,,Allsvenskan,2001,2001/2002,Sweden,Eliteserien,Norway
151,IFK Norrköping,Kristian Bergström,27.0,Left Midfield,Malmö FF,?,out,Winter,,Allsvenskan,2001,2001/2002,Sweden,Allsvenskan,Sweden
159,Malmö FF,Tobias Grahn,24.0,Central Midfield,Aarhus GF,?,out,Summer,,Allsvenskan,2004,2004/2005,Sweden,Superligaen,Denmark
161,Helsingborgs IF,Martin Buch-Frederiksen,20.0,Midfield,Lyngby BK,free transfer,out,Summer,0.0,Allsvenskan,2004,2004/2005,Sweden,Superligaen,Denmark
162,Helsingborgs IF,Mikael Rosén,29.0,Right-Back,Viborg FF,?,out,Summer,,Allsvenskan,2004,2004/2005,Sweden,Superligaen,Denmark
163,Helsingborgs IF,Martin Fribrock,19.0,Left Midfield,Halmstads BK,?,out,Summer,,Allsvenskan,2004,2004/2005,Sweden,Allsvenskan,Sweden
166,IFK Göteborg,Mikael Antonsson,23.0,Centre-Back,Austria Vienna,€450k,out,Summer,0.45,Allsvenskan,2004,2004/2005,Sweden,Bundesliga,Austria
