,club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_from_name,year,season,country_from_name,league_to_name,country_to_name
181,Shimizu S-Pulse,Yoshika Matsubara,21.0,Midfield,Júbilo Iwata,loan transfer,in,Winter,,J1 League,1995,1995/1996,Japan,J1 League,Japan
188,Shimizu S-Pulse,Jun Iwashita,22.0,Attack,Vissel Kobe,?,out,Winter,,J1 League,1995,1995/1996,Japan,J1 League,Japan
191,Shimizu S-Pulse,Yasutoshi Miura,30.0,Defensive Midfield,Verdy Kawasaki,?,out,Winter,,J1 League,1995,1995/1996,Japan,J1 League,Japan
197,Bellmare Hiratsuka,Kiyoto Furushima,27.0,Goalkeeper,Avispa Fukuoka,?,out,Winter,,J1 League,1995,1995/1996,Japan,J1 League,Japan
198,Bellmare Hiratsuka,Taku Watanabe,24.0,Defence,Cerezo Osaka,?,out,Winter,,J1 League,1995,1995/1996,Japan,J1 League,Japan
206,Cerezo Osaka,Makoto Yonekura,25.0,Attacking Midfield,Nagoya Grampus,?,in,Winter,,J1 League,1995,1995/1996,Japan,J1 League,Japan
207,Cerezo Osaka,Kenichi Serada,22.0,Defence,Kashima Antlers,?,in,Winter,,J1 League,1995,1995/1996,Japan,J1 League,Japan
211,Cerezo Osaka,Akinori Nishizawa,19.0,Centre-Forward,FC Volendam,"End of loanDec 1, 1995",in,Winter,,J1 League,1995,1995/1996,Japan,Eredivisie,Netherlands
229,Kashiwa Reysol,Satoshi Okura,26.0,Attack,Júbilo Iwata,?,out,Winter,,J1 League,1995,1995/1996,Japan,J1 League,Japan
243,Kyoto Purple Sanga,Shunzo Ono,30.0,Centre-Back,Kashima Antlers,?,in,Winter,,J1 League,1995,1995/1996,Japan,J1 League,Japan
245,Kyoto Purple Sanga,Akira Kubota,22.0,Midfield,Gamba Osaka,?,in,Winter,,J1 League,1995,1995/1996,Japan,J1 League,Japan
247,Kyoto Purple Sanga,Yuji Okuma,26.0,Midfield,Kashiwa Reysol,?,in,Winter,,J1 League,1995,1995/1996,Japan,J1 League,Japan
248,Kyoto Purple Sanga,Rikizo Matsuhashi,27.0,Midfield,Yokohama Marinos,?,in,Winter,,J1 League,1995,1995/1996,Japan,J1 League,Japan
267,Avispa Fukuoka,Satoshi Tsunami,34.0,Left-Back,Verdy Kawasaki,?,in,Winter,,J1 League,1995,1995/1996,Japan,J1 League,Japan
275,Avispa Fukuoka,Hideki Nagai,24.0,Attacking Midfield,Shimizu S-Pulse,?,out,Winter,,J1 League,1995,1995/1996,Japan,J1 League,Japan
