club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season,country
New York/New Jersey MetroStars,Jorge Acosta,31,Attack,Unknown,draft,in,Winter,NA,Major League Soccer,1995,1995/1996,United States of America
New York/New Jersey MetroStars,Peter Vermes,29,Centre-Back,UE Figueres,draft,in,Winter,NA,Major League Soccer,1995,1995/1996,United States of America
New York/New Jersey MetroStars,Danny Barber,24,Midfield,UNLV Rebels (University of Nevada/Las Vegas),draft,in,Winter,NA,Major League Soccer,1995,1995/1996,United States of America
New York/New Jersey MetroStars,Miles Joseph,21,Midfield,Clemson Tigers (Clemson University),draft,in,Winter,NA,Major League Soccer,1995,1995/1996,United States of America
New York/New Jersey MetroStars,Tab Ramos,29,Central Midfield,MLS Pool,?,in,Winter,NA,Major League Soccer,1995,1995/1996,United States of America
New York/New Jersey MetroStars,Edmundo Rodríguez,25,Attacking Midfield,Unknown,?,in,Winter,NA,Major League Soccer,1995,1995/1996,United States of America
New York/New Jersey MetroStars,Nidal Baba,23,Midfield,Unknown,?,in,Winter,NA,Major League Soccer,1995,1995/1996,United States of America
New York/New Jersey MetroStars,Damian Silvera,21,Midfield,Virginia Cavaliers (University of Virginia),?,in,Winter,NA,Major League Soccer,1995,1995/1996,United States of America
New York/New Jersey MetroStars,Zach Thornton,22,Goalkeeper,Loyola Greyhounds (Loyola University Maryland),?,in,Winter,NA,Major League Soccer,1995,1995/1996,United States of America
New York/New Jersey MetroStars,Andrew Restrepo,25,Centre-Back,Unknown,?,in,Winter,NA,Major League Soccer,1995,1995/1996,United States of America
New York/New Jersey MetroStars,Rhett Harty,25,Defence,California Jaguars,?,in,Winter,NA,Major League Soccer,1995,1995/1996,United States of America
New York/New Jersey MetroStars,Nicola Caricola,32,Centre-Back,Genoa 1893,?,in,Winter,NA,Major League Soccer,1995,1995/1996,United States of America
New York/New Jersey MetroStars,A.J. Wood,22,Attack,1.FC Saarbrücken,?,in,Winter,NA,Major League Soccer,1995,1995/1996,United States of America
New York/New Jersey MetroStars,Rubén Darío Hernández,30,Centre-Forward,Independiente Santa Fe,?,in,Winter,NA,Major League Soccer,1995,1995/1996,United States of America
New York/New Jersey MetroStars,Mirsad Huseinovic,27,Midfield,New York Centaurs,-,in,Winter,NA,Major League Soccer,1995,1995/1996,United States of America
New York/New Jersey MetroStars,Jorge Acosta,31,Attack,Unknown,?,out,Winter,NA,Major League Soccer,1995,1995/1996,United States of America
New England Revolution,Zak Ibsen,23,Defence,Baltimore Blast,free transfer,in,Winter,0,Major League Soccer,1995,1995/1996,United States of America
New England Revolution,Geoff Aunger,27,Midfield,Milwaukee Wave,free transfer,in,Winter,0,Major League Soccer,1995,1995/1996,United States of America
New England Revolution,Francis Okaroh,32,Defence,Cape Cod Crusaders,free transfer,in,Winter,0,Major League Soccer,1995,1995/1996,United States of America
New England Revolution,Paulo dos Santos,22,Midfield,Rhode Island Rams (University of Rhode Island),draft,in,Winter,NA,Major League Soccer,1995,1995/1996,United States of America
New England Revolution,Ted Chronopoulos,23,Left Midfield,Panionios Athens,draft,in,Winter,NA,Major League Soccer,1995,1995/1996,United States of America
New England Revolution,Darren Sawatzky,22,Midfield,Cascade Surge,draft,in,Winter,NA,Major League Soccer,1995,1995/1996,United States of America
New England Revolution,Paul Keegan,23,Central Midfield,Boston College Eagles (Boston College),draft,in,Winter,NA,Major League Soccer,1995,1995/1996,United States of America
New England Revolution,John DeBrito,27,Midfield,Unknown,draft,in,Winter,NA,Major League Soccer,1995,1995/1996,United States of America
New England Revolution,Tom Lips,27,Defence,Unknown,?,in,Winter,NA,Major League Soccer,1995,1995/1996,United States of America
